IDENTIFIANT;TYPE;CODE_CHANTIER;DLR;DPROG;DREA;DENLEV;DRENDU;COMMENTAIRE;LIBELLE;VILLE;RUE;DA_ETIQUETTE;DA_FORMULAIRE;DA_CREATION;DA_CLOT;CAMPAGNE_CODE_CHANTIER;OS_LIBELLE;OS_NO_ENGAGEMENT;OS_NO;COORD_LON;COORD_LAT;CC48_X;CC48_Y;CC48_Z;DLEVE;COMMENTAIRE_SAISIE;ETAT;PREVOIR_ENLEV
2025-STRAS-Wodli-C01;C;2142/755;30/05/2025;;;;;;STRASBOURG - Rue G. Wodli;STRASBOURG;Rue G. Wodli;;;21/02/2025;;2142/746;2025 - 63819;202563819;2025-;;;;;;;;1;FAUX
2025-STRAS-Wodli-P01;P;2142/755;30/05/2025;;;;;;STRASBOURG - Rue G. Wodli;STRASBOURG;Rue G. Wodli;;;21/02/2025;;2142/746;2025 - 63819;202563819;2025-;;;;;;;;1;FAUX
2025-STRAS-Wodli-P02;P;2142/755;30/05/2025;;;;;;STRASBOURG - Rue G. Wodli;STRASBOURG;Rue G. Wodli;;;21/02/2025;;2142/746;2025 - 63819;202563819;2025-;;;;;;;;1;FAUX
2025-STRAS-Wodli-S01;S;2142/755;30/05/2025;;;;;;STRASBOURG - Rue G. Wodli;STRASBOURG;Rue G. Wodli;;;21/02/2025;;2142/746;2025 - 63819;202563819;2025-;;;;;;;;1;FAUX
2025-STRAS-Wodli-S02;S;2142/755;30/05/2025;;;;;;STRASBOURG - Rue G. Wodli;STRASBOURG;Rue G. Wodli;;;21/02/2025;;2142/746;2025 - 63819;202563819;2025-;;;;;;;;1;FAUX
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;#VALEUR!;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;Recherche en cours..;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
